,player_id,name,position,team,adp,adp_formatted,times_drafted,high,low,stdev,bye,Season
0,1347,Chris Johnson,RB,TEN,1.4,1.01,422,1,24,1.3,6.0,2010
1,925,Adrian Peterson,RB,MIN,2.3,1.02,342,1,23,1.3,7.0,2010
2,1360,Ray Rice,RB,BAL,3.2,1.03,203,1,22,1.5,10.0,2010
3,649,Maurice Jones-Drew,RB,JAX,4.7,1.05,325,1,21,1.5,11.0,2010
4,605,Andre Johnson,WR,HOU,4.8,1.05,427,1,49,2.6,6.0,2010
5,437,Frank Gore,RB,SF,6.2,1.06,369,4,20,1.5,9.0,2010
6,1004,Aaron Rodgers,QB,GB,7.8,1.08,344,1,17,2.6,14.0,2010
7,854,Randy Moss,WR,TEN,8.1,1.08,302,2,50,2.9,6.0,2010
8,1183,Michael Turner,RB,ATL,9.1,1.09,312,3,18,2.1,14.0,2010
9,1228,Reggie Wayne,WR,IND,11.2,1.11,307,5,51,3.2,14.0,2010
10,581,Steven Jackson,RB,LAR,11.3,1.11,351,5,21,2.8,7.0,2010
11,611,Calvin Johnson,WR,DET,12.3,1.12,388,4,54,3.4,6.0,2010
12,127,Drew Brees,QB,NO,13.2,2.01,368,3,24,3.8,14.0,2010
13,37,Miles Austin,WR,DAL,13.9,2.02,346,6,52,3.5,9.0,2010
14,1244,Roddy White,WR,ATL,14.8,2.03,434,5,55,3.4,14.0,2010
15,1729,Ryan Mathews,RB,LAC,15.4,2.03,380,6,30,3.6,8.0,2010
16,755,Brandon Marshall,WR,MIA,17.3,2.05,421,7,53,3.7,11.0,2010
17,374,Larry Fitzgerald,WR,ARI,19.0,2.07,362,10,56,3.6,13.0,2010
18,1346,Rashard Mendenhall,RB,PIT,19.2,2.07,318,7,32,4.6,9.0,2010
19,599,Greg Jennings,WR,GB,20.4,2.08,386,11,59,3.7,14.0,2010
20,750,Peyton Manning,QB,IND,20.6,2.09,371,9,34,4.4,14.0,2010
21,1257,DeAngelo Williams,RB,CAR,22.3,2.10,346,9,34,5.0,13.0,2010
22,1357,DeSean Jackson,WR,PHI,24.7,3.01,316,16,65,4.4,7.0,2010
